#{"t_start": 1730028739.5769324, "env_id": "None"}
r,l,t
-0.5,1,0.811748
41.580813,118,1.31956
0.242935,3,1.419723
0.075351,3,1.525357
-0.5,1,1.624001
0.882326,5,1.733662
-0.5,1,1.830026
1.789659,9,1.950059
-0.5,1,2.046066
45.994533,137,2.586954
15.660542,46,2.826958
38.215896,112,3.269609
-0.166625,2,3.362988
1.002759,6,3.467498
1.874048,8,3.584668
47.572594,137,4.106287
2.6463,11,4.228185
-0.5,1,4.339939
2.038465,9,4.454457
38.579167,106,4.867793
44.051469,125,5.358623
38.125121,114,5.81273
1.04289,6,5.920449
-0.5,1,6.009207
40.225308,114,6.456583
0.652931,5,6.559519
0.883567,6,6.669723
41.247385,132,7.16034
0.392244,4,7.26142
2.121913,10,7.379239
1.228482,6,7.4795
45.690556,148,8.022976
42.594045,131,8.520472
0.944371,6,8.623154
0.132019,3,8.721105
34.879192,103,9.124987
0.16232,3,9.224012
34.964277,109,9.652519
-0.5,1,9.743614
-0.5,1,9.838228
36.491043,118,10.289966
2.352421,10,10.413038
0.486746,4,10.514925
0.199359,3,10.610044
0.037975,3,10.707502
36.205517,105,11.112625
0.684035,5,11.217777
44.630901,132,11.792933
36.836904,117,12.284735
26.641763,83,12.629969
0.756529,5,12.731745
34.642617,107,13.164602
0.389027,4,13.266778
-0.5,1,13.364578
35.569645,108,13.82995
35.019916,102,14.253395
34.283528,102,14.657219
-0.152055,2,14.750975
2.032105,10,14.868602
42.634375,115,15.317462
22.717571,66,15.608068
38.732272,111,16.048178
38.390304,119,16.514678
41.364753,120,17.311279
20.738994,62,17.592849
40.362238,113,18.021989
10.777765,33,18.516773
4.618486,16,18.6642
39.319267,112,19.090183
2.888506,11,19.212763
40.502707,116,19.653446
20.132134,61,19.928974
37.76276,113,20.35779
44.548952,120,20.81467
43.226558,124,21.280143
45.218502,124,21.748413
45.917647,124,22.222085
49.3137,133,22.737593
48.003442,126,23.188629
51.099557,132,23.663784
44.866926,122,24.108242
46.432573,127,24.57415
40.19706,114,25.042091
45.080454,123,25.497975
43.18619,118,25.952024
49.402398,126,26.437012
26.770576,72,26.740033
47.194073,131,27.23345
24.021643,68,27.561971
36.832197,106,27.981486
55.253454,159,28.599832
0.037682,3,28.698489
28.961523,84,29.063184
231.62612,653,31.229792
45.39036,127,31.725261
45.33554,122,32.21349
44.456856,122,32.686586
37.796117,113,33.108584
42.432538,118,33.572455
51.744884,141,34.084856
51.94116,137,34.5867
57.124827,156,35.161104
148.168831,408,36.501395
145.394846,386,37.75988
135.380663,368,38.996503
50.786533,135,39.513849
