#{"t_start": 1729962371.660071, "env_id": "None"}
r,l,t
0.406483,5,0.819655
0.551654,7,0.935209
-0.195428,2,1.036368
-0.301895,3,1.126942
-0.5,1,1.2132
-0.017639,3,1.304981
0.492274,4,1.398385
-0.188244,2,1.490467
-0.339019,2,1.579446
-0.5,1,1.664431
-0.281617,2,1.747106
-0.5,1,1.8327
-0.141428,2,1.919954
0.339512,5,2.014474
-0.5,1,2.10007
0.045924,3,2.185542
-0.167306,2,2.273467
-0.199697,2,2.361747
-0.233997,2,2.454098
-0.5,1,2.673052
0.206829,5,2.767166
-0.5,1,2.849269
-0.338103,3,2.937866
0.365078,4,3.027935
-0.214412,3,3.117895
-0.5,1,3.197917
0.263518,4,3.285841
-0.5,1,3.368535
-0.3657,3,3.455134
0.155973,3,3.543761
-0.32678,2,3.628402
-0.170938,3,3.714474
0.126253,4,3.803768
-0.172175,2,3.891406
-0.5,1,3.973367
-0.5,1,4.054882
1.657954,11,4.167896
-0.267524,2,4.253533
-0.5,1,4.33525
-0.342455,2,4.419024
0.73166,5,4.509616
-0.186209,2,4.593702
-0.215592,3,4.678439
0.671537,5,4.77041
0.521849,6,4.86094
-0.218339,2,4.944922
0.21366,4,5.035399
0.15296,3,5.125024
0.768762,5,5.21537
-0.341571,2,5.299962
-0.5,1,5.3835
-0.244738,2,5.468657
0.094165,3,5.555242
-0.174194,2,5.638691
0.030303,3,5.723736
-0.338529,2,5.808388
0.036931,5,5.900995
-0.5,1,5.983446
-0.5,1,6.064479
0.157014,5,6.161452
0.510312,5,6.252365
-0.5,1,6.334563
-0.5,1,6.414369
-0.001425,3,6.500044
-0.334977,2,6.58462
-0.5,1,6.668099
-0.168101,2,6.750244
0.144133,4,6.837366
0.04408,4,6.930372
-0.5,1,7.013462
0.051444,4,7.101207
-0.048263,3,7.18859
0.270746,4,7.277663
1.043144,7,7.375073
0.387089,4,7.463817
2.978811,13,7.57398
1.205551,7,7.669905
-0.5,1,7.75241
0.053082,3,7.838873
-0.349301,2,7.920887
0.565034,4,8.009365
0.92602,6,8.111583
-0.137651,3,8.200118
-0.150433,2,8.289716
1.027416,6,8.380299
-0.5,1,8.462685
-0.040513,3,8.550169
-0.054634,4,8.63913
-0.5,1,8.724099
0.555046,6,8.815371
-0.195118,2,8.90233
-0.257663,2,8.986964
-0.171147,5,9.07692
-0.305914,2,9.163144
0.213889,4,9.252282
2.460523,13,9.371943
-0.5,1,9.453373
0.49083,4,9.544771
0.808453,5,9.633965
-0.018348,3,9.721691
-0.5,1,9.805322
-0.244151,2,9.89148
0.115518,3,9.979114
-0.170141,4,10.065274
0.456582,5,10.155986
-0.5,1,10.241824
0.085362,3,10.330283
-0.228466,2,10.418316
-0.5,1,10.500336
0.960337,7,10.591528
0.119533,3,10.677218
-0.161152,2,10.761376
-0.5,1,10.842461
-0.224715,2,10.924043
-0.248017,2,11.00987
0.414655,6,11.101938
-0.481786,3,11.188507
-0.259076,2,11.273134
-0.5,1,11.357728
-0.5,1,11.440875
-0.034515,3,11.529526
-0.5,1,11.610487
-0.5,1,11.693667
-0.16889,2,11.778781
0.16232,3,11.865591
-0.5,1,11.95031
0.650371,5,12.038926
-0.5,1,12.121744
-0.5,1,12.205923
0.576904,5,12.297413
-0.262127,2,12.38304
-0.001912,3,12.468369
0.438555,4,12.557409
1.217318,6,12.655872
-0.287125,2,12.740919
-0.216045,2,12.827482
-0.5,1,12.911389
-0.187739,2,12.994464
0.101811,3,13.081626
0.779531,8,13.180417
-0.129962,3,13.269985
0.031919,3,13.359874
0.292676,5,13.45838
-0.270921,2,13.542954
1.110973,7,13.639179
0.028852,5,13.730886
0.164077,3,13.819872
-0.5,1,13.90401
1.094448,8,13.999978
-0.282848,2,14.083876
-0.339585,2,14.172462
0.026278,3,14.26065
0.01819,3,14.347659
-0.5,1,14.429702
-0.018437,3,14.515196
1.707021,9,14.61697
0.939103,5,14.711246
-0.261587,2,14.802053
0.375078,5,14.897209
0.078739,4,14.985407
-0.00715,3,15.071383
