#{"t_start": 1730027363.159436, "env_id": "None"}
r,l,t
0.552443,4,1.699771
3.088055,12,1.840248
-0.5,1,1.933547
35.000195,101,2.354685
0.140108,3,2.448915
40.350522,122,2.89848
0.381656,4,2.996332
-0.5,1,3.081927
38.012854,113,3.503906
48.113839,138,3.997125
45.433014,129,4.471912
37.745903,108,4.871486
0.661302,5,4.971855
48.733131,143,5.447434
-0.5,1,5.535096
11.911292,38,5.724622
0.149906,3,5.813155
42.250931,121,6.250031
43.631171,121,6.679403
45.955245,135,7.141827
48.088343,137,7.631535
43.74452,130,8.085427
36.507445,110,8.493638
7.571442,25,8.64495
-0.5,1,8.726551
-0.5,1,8.808187
1.033098,6,8.905866
0.170649,3,8.996095
41.0655,128,9.469637
43.027523,123,9.894951
31.619226,93,12.129416
80.148922,238,12.907544
33.308378,98,13.286512
42.21188,121,13.723088
44.753413,128,14.182961
1.171716,7,14.289644
-0.15947,2,14.386379
96.187067,291,15.413049
43.056327,127,15.908615
42.241055,123,16.41862
40.064371,122,16.878213
1.03449,6,16.974884
30.596218,89,17.317552
2.039779,9,17.432367
-0.168402,2,17.521496
3.601079,15,17.657089
-0.5,1,17.7452
-0.166205,2,17.838928
1.006258,6,17.948687
0.387372,4,18.044782
46.994574,141,18.598235
1.187008,6,18.707398
40.385012,118,19.128911
-0.173168,2,19.218155
45.466784,130,19.754746
-0.5,1,19.842966
0.078006,3,19.935578
0.128041,3,20.022659
39.458028,116,20.467381
36.766534,103,20.879071
38.317379,114,23.53542
0.947696,6,23.645552
9.426962,31,23.836432
39.06667,115,24.313383
0.542348,4,24.417538
0.49028,4,24.523405
43.342815,125,25.094577
42.412086,116,25.579886
23.974498,69,25.90242
32.356054,96,26.321979
1.605352,8,26.435791
0.683938,5,26.538913
37.517429,106,26.998111
0.743534,5,27.095109
7.790101,29,27.276096
44.322302,131,27.771001
-0.149317,2,27.861046
-0.164857,2,27.949945
26.947191,77,28.271846
-0.149759,2,28.359064
43.907534,123,28.827655
1.53614,8,28.944714
41.237998,120,29.394937
41.930145,126,29.855534
0.996035,6,29.955474
41.241497,124,30.404938
0.707897,5,30.505914
46.541085,128,30.976157
25.296377,75,31.283244
1.83217,9,31.393801
40.022195,115,31.817714
0.193281,3,31.906863
42.051927,114,32.349912
1.564899,8,32.456269
1.294502,7,32.559441
43.400479,127,35.034838
51.84462,150,35.577091
40.878823,120,36.01667
0.051031,3,36.113305
-0.5,1,36.197959
41.908749,128,36.664597
-0.149992,2,36.754767
38.296981,111,37.183929
-0.5,1,37.270573
45.234036,133,37.754486
-0.164911,2,37.841704
39.060658,114,38.289889
38.237236,108,38.700474
0.460702,4,38.792559
50.333453,144,39.340761
0.053458,3,39.43344
42.173636,118,39.88294
1.404312,8,39.987977
27.8195,85,40.32808
0.069057,3,40.424926
41.858793,124,40.87295
0.20374,3,40.963421
2.332275,11,41.078166
-0.5,1,41.166447
0.502495,4,41.260783
0.11231,3,41.363776
46.718534,128,41.825828
0.961716,6,41.92493
49.515991,135,42.406781
-0.157961,2,42.495744
44.352679,126,42.960479
-0.5,1,43.04353
-0.5,1,43.136349
49.455768,141,43.685791
33.012682,100,46.013105
42.600632,124,46.463678
9.242422,30,46.641834
44.582484,129,47.138961
0.034178,3,47.245646
3.571813,15,47.383393
0.628949,5,47.482919
38.668632,111,47.903056
4.692082,16,48.031002
44.815087,135,48.552691
0.989719,6,48.665076
47.987638,135,49.196084
-0.5,1,49.287487
49.643971,140,49.805527
38.565932,117,50.231955
44.390961,132,50.73737
-0.5,1,50.830587
37.527258,109,51.247055
21.187266,65,51.559246
0.98698,6,51.663461
41.687412,118,52.091952
38.689213,105,52.52053
1.322774,7,52.624749
0.085439,3,52.718572
39.705445,115,53.142954
1.582691,8,53.253361
0.455255,4,53.35072
42.589502,120,61.268821
127.807083,377,64.602721
0.856738,5,64.716935
47.55496,137,65.203073
0.405068,4,65.297899
25.541266,73,65.60794
40.898309,114,66.06736
34.258278,105,66.50628
38.598101,111,66.941143
42.837523,128,67.442792
20.655176,62,67.714831
-0.5,1,67.803043
41.350595,120,68.247624
0.523983,4,68.340438
41.717484,115,68.779028
36.781457,106,69.196038
0.448758,4,69.288653
43.917973,128,69.728529
2.931495,13,69.849103
0.08177,3,69.939678
36.151324,102,70.350448
48.463448,143,70.848446
0.664531,5,70.943061
-0.5,1,71.026923
36.042876,103,71.421627
0.727406,5,71.525962
46.462516,133,72.026281
32.231566,94,72.398956
44.665979,134,74.936951
0.954427,6,75.044525
15.472784,46,75.269922
42.501251,124,75.70344
1.304635,7,75.800695
1.281702,7,75.904531
41.884503,124,76.520669
135.772957,395,77.803525
1.112702,6,78.65835
39.415838,113,79.157993
41.819235,128,79.600466
49.214124,145,80.123385
0.447908,4,80.230748
40.702766,124,80.715428
48.038873,141,81.257799
-0.5,1,81.345425
0.975,6,81.448369
-0.5,1,81.532718
0.666497,5,81.635343
41.856321,122,82.125871
36.606543,104,82.526567
42.153753,116,82.968562
0.044965,3,83.058717
17.223178,52,83.292988
-0.166139,2,83.380589
0.080386,3,83.468229
44.437073,135,83.983568
17.640181,53,84.242693
-0.5,1,84.35943
38.725195,113,86.753716
44.099099,127,87.233662
-0.5,1,87.319309
1.478835,8,87.429837
42.805006,125,87.913624
0.931036,6,88.060975
0.931269,5,88.155637
45.349251,129,88.649973
40.731089,120,89.073503
41.025517,120,89.519011
-0.164438,2,89.604509
40.406672,110,90.011036
44.232796,134,90.499437
41.830489,119,90.925544
1.463283,7,91.023141
-0.5,1,91.12357
35.551529,105,91.509591
40.105236,115,91.92342
0.395614,4,92.026533
-0.5,1,92.110559
33.710616,98,92.469188
45.419243,135,92.933585
45.508783,134,93.402848
0.00199,3,93.492983
46.798349,139,93.993442
50.311952,146,94.522296
41.699652,121,96.944783
44.76078,123,97.385051
38.367352,114,97.815504
42.701235,119,98.251937
121.248058,373,99.598928
48.410745,147,100.146932
0.076299,3,100.239556
32.820825,97,100.675986
-0.5,1,100.773205
-0.166581,2,100.872606
3.249382,13,100.99974
0.061287,3,101.09492
44.124031,125,101.55677
-0.5,1,101.641798
-0.5,1,101.731956
40.49311,118,102.160048
43.304604,122,102.625787
50.322304,150,103.191502
2.435821,10,103.302831
0.144808,3,103.395428
27.917605,79,103.713906
31.28763,92,104.062437
41.910869,119,104.506568
45.223411,127,104.99701
41.345496,121,107.621087
-0.5,1,107.70694
38.787228,113,108.125533
-0.5,1,108.205963
41.393694,119,108.668926
1.793826,8,108.781647
37.297287,111,109.252916
36.969919,109,109.683933
30.196904,91,110.08451
39.835747,112,110.515437
39.261238,114,111.033647
-0.152071,2,111.134612
45.661718,133,111.638695
-0.17694,2,111.741013
43.748,127,112.287936
1.043315,6,112.394813
34.705438,103,112.82245
47.851974,143,113.35801
-0.14946,2,113.452933
-0.5,1,113.536107
17.141989,52,113.769926
0.364877,4,113.868485
42.006541,126,114.43773
36.439072,108,134.950178
0.516268,4,135.046185
-0.5,1,135.128986
0.831806,6,135.228554
40.790944,123,135.674518
-0.142888,2,135.767614
37.609488,108,136.177928
0.867607,5,136.269972
0.740951,5,136.363472
39.471623,117,136.781815
-0.5,1,136.868993
47.40982,138,139.334851
45.573808,131,139.801444
42.09802,124,140.279334
40.761251,120,140.739937
0.839476,5,140.834526
6.834287,22,140.97577
0.030736,3,141.064466
37.165588,113,141.465942
0.17258,3,141.557126
0.964654,6,141.665447
1.032313,6,141.78934
38.867918,115,142.240357
42.538219,122,142.702962
39.428865,122,143.228675
-0.153313,2,143.318299
33.657812,94,143.686573
38.893499,119,144.143177
-0.5,1,144.241906
41.991502,127,144.693187
39.189639,114,145.100567
44.01742,126,145.598773
48.141041,143,146.117017
1.410195,7,146.224982
48.313428,142,146.772433
0.216535,3,146.862514
42.051752,122,147.302511
42.880066,123,149.74857
-0.5,1,149.832678
25.596018,75,150.137553
43.045678,127,150.581805
37.312423,112,151.005819
37.694909,114,151.441451
0.989724,6,151.545824
12.111185,38,151.739033
37.386675,111,152.192446
38.800761,110,152.6059
39.561649,114,153.09279
37.169297,107,153.557023
38.472446,113,154.001433
53.885506,157,154.598698
-0.5,1,154.685312
0.869667,5,154.779451
-0.5,1,154.867947
42.071817,126,155.324963
38.998002,109,155.731924
-0.5,1,155.815694
40.498857,125,156.322475
0.757,5,156.416009
120.785588,372,157.714563
39.698312,116,160.211703
2.368081,10,160.352075
23.403562,70,160.67181
40.141875,117,161.14616
-0.5,1,161.235467
-0.5,1,161.324594
44.231486,135,161.881854
42.921326,126,162.360203
1.942959,9,162.471386
2.29546,10,162.584613
39.585708,114,163.111727
-0.5,1,163.194834
-0.170187,2,163.289141
41.526158,124,163.804635
44.5813,126,164.417301
43.429227,123,164.890894
43.771565,128,165.393097
-0.159993,2,165.484934
0.170046,3,165.578446
19.442184,57,165.853209
0.702322,5,165.958952
-0.5,1,166.054666
42.357564,120,166.574937
37.724475,110,167.016456
-0.5,1,167.104062
39.382097,115,167.554555
42.581877,126,168.045934
2.404626,11,168.168933
41.110173,123,168.632949
35.069826,106,169.145955
47.697617,136,171.6933
0.194096,3,171.784923
38.774418,109,172.176976
0.553048,4,172.268949
-0.5,1,172.352573
43.052749,128,172.832583
42.037318,121,173.295457
39.311814,110,173.754913
10.906359,36,173.950537
44.640492,126,174.419284
1.163502,7,174.523005
0.881845,5,174.618515
42.520928,118,175.096676
31.379017,94,175.479833
42.180153,121,175.9569
41.03995,120,176.424796
40.873415,120,176.890236
0.169773,3,176.985465
-0.5,1,177.077641
1.149571,6,177.179562
44.849831,129,177.652148
-0.166777,2,177.739781
44.823527,135,178.248245
37.135571,106,178.744687
40.522639,127,179.2461
0.389596,4,179.342746
-0.162251,2,179.431896
4.209437,17,179.565597
55.709763,153,180.226735
44.960135,135,182.807952
0.545507,4,182.909999
0.036581,3,183.007602
34.424607,103,183.423123
-0.142532,2,183.51198
1.757207,8,183.620273
37.496918,105,184.03004
40.748362,121,184.524937
-0.5,1,184.609015
42.654314,125,185.110836
0.168555,3,185.20665
37.594765,103,185.601705
37.882051,110,186.046146
45.934268,127,186.549939
40.651133,120,187.029595
43.025796,128,187.51194
43.071383,123,187.966994
37.868467,111,225.3268
-0.169467,2,225.412484
-0.5,1,225.49798
40.5296,120,225.925942
43.061756,126,226.380876
0.38884,4,226.472462
50.748132,152,227.029028
29.986972,87,227.393481
42.564401,125,227.832665
34.609909,102,230.146143
41.419824,118,230.585928
40.922176,116,231.016001
25.586428,75,231.322546
40.800442,116,231.743048
37.049024,109,232.186929
-0.5,1,232.26955
50.294369,147,232.806929
-0.5,1,232.890937
1.760371,8,232.993007
37.132547,112,233.398436
-0.5,1,233.493205
-0.5,1,233.580328
40.601156,116,234.007631
44.027314,127,234.478513
0.564306,5,234.573667
50.520519,148,235.12699
40.803964,115,235.566959
41.68598,119,236.058098
38.950762,110,236.515238
-0.5,1,236.600582
0.037205,3,236.695971
-0.143381,2,236.785938
44.73085,124,237.279443
43.720254,128,237.800745
-0.5,1,237.887933
-0.5,1,237.977611
-0.5,1,238.064742
50.394154,148,238.618761
45.620787,128,241.056366
43.429666,125,241.528079
0.165265,3,241.617437
45.360839,123,242.085163
40.784186,114,242.522957
47.536585,138,243.05626
-0.5,1,243.141945
42.211919,120,243.607552
32.717358,94,243.966695
-0.5,1,244.052798
2.595627,10,244.161486
0.037936,3,244.251004
41.002794,115,244.762988
55.050032,154,245.341488
41.637757,122,245.790203
1.592482,7,245.894862
10.338963,33,246.078702
43.825007,129,246.562183
42.555122,121,247.026415
12.711605,40,247.227557
0.189656,3,247.318502
40.829685,116,247.775529
0.093425,3,247.869684
12.772957,38,248.102711
0.754191,5,248.202603
41.730891,118,248.650457
36.911433,105,249.072321
0.186744,3,249.165936
-0.5,1,249.24938
44.117505,122,249.694719
41.744882,123,252.054849
-0.147259,2,252.144695
2.41931,9,252.253807
48.497379,142,252.777726
32.291968,93,253.144897
27.902092,83,253.484468
40.947371,117,253.910487
39.261003,111,254.335963
-0.5,1,254.425126
-0.162676,2,254.514741
0.090013,3,254.608965
37.898659,107,255.02055
44.797077,128,255.507769
37.64095,108,255.988257
1.224724,6,256.086143
38.375927,109,256.520155
46.514284,131,257.012534
38.412839,114,257.442498
37.19353,105,257.836037
40.231287,115,258.290028
93.415217,277,259.265714
49.368876,143,259.86591
45.486127,133,262.483732
35.153693,100,262.89468
40.121335,112,263.384955
49.796841,145,264.016402
34.697108,98,264.451994
40.246119,119,264.934689
37.526479,103,265.329445
32.612042,94,265.687946
-0.5,1,265.768933
-0.5,1,265.85008
35.863165,109,266.265942
45.1298,137,266.765973
34.025107,100,267.165941
43.470678,126,267.623217
19.073708,56,267.865536
43.027039,125,268.35461
48.413823,135,268.891087
38.056338,112,269.320044
38.57373,110,269.728793
1.031247,6,269.825982
41.984376,126,270.343401
46.094368,129,272.817462
-0.5,1,272.904459
39.473308,111,273.331789
44.649834,121,273.785029
41.272743,121,274.236358
32.207317,89,274.585083
39.339007,115,275.018183
51.549135,152,275.568028
1.5182,7,275.673198
46.855456,129,276.138159
40.415689,119,276.589173
46.110873,136,288.102432
42.79219,130,288.571486
40.398765,113,288.982524
36.262856,106,289.387644
27.705032,78,289.70069
48.820254,146,290.236004
48.294313,136,290.746451
40.516281,119,291.232049
51.484056,152,293.858503
57.527482,159,294.465019
2.946584,12,294.579571
43.985992,124,295.025666
45.129791,134,295.480718
37.501642,107,295.885966
41.005021,122,296.326876
4.37759,16,296.452702
-0.5,1,296.533818
1.524793,7,296.632705
1.299885,6,296.728828
43.590557,124,297.172256
49.61341,140,297.675933
-0.187603,2,297.762995
1.202158,6,297.86044
-0.153491,2,297.943761
37.835098,111,298.343026
42.704748,123,298.775614
4.648012,16,298.902558
0.526093,4,298.995438
17.870823,56,299.340546
44.243459,126,299.783716
48.347606,143,300.281627
42.353954,124,300.715813
20.291367,58,300.991183
12.640912,40,301.18793
-0.179713,2,301.274688
-0.158351,2,301.361318
37.742549,107,301.749926
-0.5,1,301.831892
45.922515,135,304.157036
53.298986,156,304.711763
41.498612,117,305.134621
13.296478,41,305.331764
47.825731,141,305.82793
38.531914,116,306.231706
0.485713,4,306.330649
36.509472,106,306.743708
45.350838,128,307.205711
49.652678,147,307.778433
0.509007,4,307.872977
-0.154415,2,307.960966
43.610653,129,308.491479
52.201333,147,309.071813
5.943562,21,309.218499
53.826516,161,309.811875
43.432824,129,310.276703
-0.5,1,310.358999
41.76097,119,310.815544
1.570408,8,310.930607
46.22923,150,311.453161
42.968878,116,311.860993
20.254456,60,313.983073
1.341663,7,314.109886
1.24428,6,314.20556
