#{"t_start": 1729983427.5233574, "env_id": "None"}
r,l,t
51.149237,142,5.992032
1.281733,6,6.310001
47.686608,154,10.713
51.976366,141,14.684
24.256816,83,17.163001
-0.5,1,17.364001
5.902503,20,18.135001
0.459869,4,18.424004
-0.5,1,18.631003
31.798771,98,22.383003
78.009322,229,29.718001
5.29934,19,30.463007
1.023248,6,30.789
2.342576,10,31.233001
82.044289,243,38.636003
0.066447,3,38.889001
-0.5,1,39.077002
11.019377,36,40.218001
1.184924,6,40.529
0.360719,4,40.815003
-0.5,1,41.009003
0.166586,3,41.25801
2.058973,10,41.695001
-0.5,1,41.867009
6.877936,23,42.735002
1.717048,9,43.138001
0.680067,5,43.432002
81.7606,238,49.902001
8.020259,28,50.878003
-0.5,1,51.057003
-0.5,1,51.239002
-0.177949,2,51.500002
47.399068,157,55.952003
49.78276,146,60.143002
37.925963,115,63.380001
47.448955,139,67.302001
39.744051,110,70.284
5.748738,20,70.957001
-0.5,1,71.196001
40.821735,112,74.355004
0.178294,3,74.585002
0.043479,3,74.812001
42.996339,124,78.294003
44.68729,127,81.824012
-0.5,1,81.995001
36.848907,107,85.146012
29.115969,83,87.552001
50.673825,137,91.451002
44.492246,127,95.309001
46.921709,138,99.143003
5.335075,18,99.812002
-0.141215,2,100.047002
-0.5,1,100.260003
16.715804,51,101.793001
43.917238,125,105.249
2.228841,9,105.639001
-0.5,1,105.836
46.247144,129,109.312906
41.046246,119,112.557919
37.828478,106,115.589907
2.180048,10,116.001908
15.272529,46,117.383906
-0.5,1,117.557919
47.183315,129,120.995908
44.096278,126,124.363907
-0.5,1,124.578906
10.903921,34,125.605906
6.477241,21,126.308908
1.014879,6,126.605907
27.368607,77,128.741908
9.610105,30,129.674918
7.866745,25,130.443908
17.47766,53,132.020907
-0.5,1,132.187916
3.466665,13,132.655914
46.390241,132,136.335906
-0.5,1,136.509906
49.672779,139,140.292908
17.539943,51,141.813908
6.322761,21,142.545906
-0.5,1,142.790908
-0.5,1,142.968906
10.547273,36,144.147908
42.19395,122,147.712907
7.198158,24,148.564907
-0.5,1,148.734909
5.239016,18,149.369906
38.845684,108,152.694908
-0.5,1,152.899908
12.329195,41,154.201908
9.5271,31,155.235906
41.639528,118,158.665906
0.204449,3,158.894913
-0.5,1,159.072906
47.134661,133,163.06292
9.827446,32,164.091907
55.034859,156,168.314905
1.527688,8,168.684906
3.788733,14,169.258908
-0.5,1,169.438907
8.890956,29,170.352907
41.720022,121,173.733906
42.129412,118,177.040909
-0.5,1,177.215908
15.850402,48,178.677907
49.528449,141,182.800908
14.32206,45,184.331914
41.312019,123,187.855919
48.6974,138,191.687906
44.398631,121,195.283909
9.265141,30,196.216905
0.045966,3,196.435941
0.03836,3,196.716908
32.852415,95,199.582907
14.905916,47,200.972906
8.140943,26,201.806906
-0.5,1,201.995907
20.452585,61,203.835907
38.756647,110,207.057907
4.400077,16,207.706908
40.957353,114,211.104908
